no ,id_topeng ,nama_topeng,tahun ,lokasi ,alamat lengkap,deskripsi,latitude,longitude ,Image 
1,TP001,"Anggada, Hanggada",1930,"Museum Sonobudoyo, Yogyakarta",,"Despite the death of his father Subali at the hands of his uncle, Sugriwa, who succeeds him as the king of the monkeys, Anggada holds no grudge. Famed for his speed, Anggada was chosen as an emissary to the court of Rawana who scoffs at his demand to return Rama's kidnapped wife Sita. Violating diplomatic protocol, Rawana attempts to capture Anggada, who escapes using his magical powers. He would later prove his strength on the battlefield.",-7.802257,110.359438,TP001.jpg
2,TP002,"Anikumba, Raksasa Anikumba, Son of Kumbakarna",1930,"Museum Bali, Denpasar","Jl. Mayor Wisnu No.1, Dangin Puri, Kec. Denpasar Tim., Kota Denpasar, Bali 80232","Anikumba and Akumba are the two sons of Rawana's youngest brother, the mighty Kumbakarna. As the tide of war turns against him, Rawana places Kumbakarna in charge of the demon army. Together with his sons, he leads his warriors onto to the battlefield. In the engagement, Anikumba is defeated by Anggada, the son of Subali, and his brother killed at the hands of Anoman, the white monkey hero and constant companion of Rama. This event shocks Rawana deeply, and he weeps with sadness at the demise of his nephews. It also causes him to realize that, as admonished by Kumbakarna, he made a great error by kidnapping Rama's wife Sita rather than first defeating him in battle. Like his father, Anikumba has big eyes, a large open mouth surround-ed by a curly beard, and a small chin and forehead.",-8.657398,115.218579,TP002.jpg
3,TP003,"Anoman, The White Monkey",1930,"Museum Sonobudoyo, Yogyakarta",,"Despite his fierce expression and mouth full of sharp fangs and teeth, as Rama's most devoted disciple, Anoman, the white monkey, is one of the most beloved heroes of the Ramayana. Unlike many of his monkey brethren, who often forgot their promises for more pleasurable pastimes, Anoman was the embodiment of selfless courage, loyalty and resourcefulness. This mask, which was collected by the Java Institute, is a pristine example of the sumptuous Wayang Wong troupes sponsored by the mightiest and wealthiest raja of Bali. Multi-hued and incredibly detailed, seen in the miniscule treatment of the hair, in his ears, nose and bird, Anoman's wears large golden earrings incrusted with rubies and sapphires and a matching crown embossed with pearls and rondels above his eyes. His spiritual prowress is signified by the arches on his forehead.",-7.802257,110.359438,TP003.jpg
4,TP004,"Arya Adikara, Haryo Adikara, Raden Adikara, Syuradikar",1800,"Collection Nationaal Museum van Wereldculturen, Leiden",,"Mislabeled in the museum notes as Patih Siredikare, this robust orange-skinned man with an upturned mustache is most probably Arya Adikara, the sixth regent (Bupati) of Tuban, Java, who ruled from 1349 until 1401. He was appointed to the role because he was a descendant of Ranggalawe, the first Bupati of Tuban. Although Ranggalawe rebelled against Raden Wijaya because of a misunderstanding and was tragically killed as a result, the king still allowed his descendants to continue ruling after him.",52.164104,4.483984,TP004.jpg
5,TP005,"Arya Pengalasan, general Arya Pengalasan",1920,"Museum Sonobudoyo, Yogyakarta",,"Arya Pengalasan was one of the main military commanders during the Majapahit invasion of Bali in 1343. Said to be a descendent of the legendary, Raja Airlangga, the half-Balinese, half-Javanese king who reunited Java in the 12th century, Arya's expression is fierce, almost demonic, a feeling that is enhanced by the unusual purple-blue color of his complexion. The yellow lines and white hair indicate that he is not young. Until today there is special offering place (merajan) in Pura Agung Pusat Temple in Bedulu dedicated to this military leader where he is worshipped by his descendents.",-7.802257,110.359438,TP005.jpg
6,TP006,"Arya Wiraja, banyak wide",1920,"Museum Sonobudoyo, Yogyakarta",,"A noble in the court of the Singosari Kingdom, Arya Wiraraja felt slighted when his overlord, Kertanegara appointed his father as governor of Sumenep, a royal seat on the island of Madura, located off the coast of northeast Java. In his eyes Sumenep was an undeserving backwater, Festering in his anger, he eventually joined forces with another disgruntled governor, Jayakatwang, and rose up in rebellion against Kertanegara, who they murdered, marking the end of Singosari. Their victory was shortlived for they would both soon be vanquished by the allied forces of Raden Wijaya, the son in law of Kertanegara and the invading Chinese forces of Kublai Khan, the emperor of China, in 1292, who consequently returned to China after hearing of Kublai Khan's death. The story also mirrors that of Ranggalawe in the early Majapahit court which followed.",-7.802257,110.359438,TP006.jpg
7,TP007,"Asu, Wild Dog",-,"Private Collection, Bali ",,"In traditional Balinese society, dogs served an important service as guardians and warning systems who would howl, bark, growl and even lunge at unknown humans and animals who wandered into their territory. Despite this they were rarely pampered but rather tolerated. Their reputation as low and nasty beasts is seen in this mask. With small pointed ears held back against the side of the head, intense beady eyes and a pointy snout exposing his teeth, this mask with its lacquer-like patina is a brilliant portrait of this ubiquitous human companion.",-8.409518,115.188916,TP007.jpg
8,TP008,Barong ket with Deer Antlers,1938,"Collection Nationaal Museum van Wereldculturen, Leiden",,"The Barong Ket is closely associated with Pasupati, an incarnation of the high god Siwa. While loosely based on the lion, Barong are complex mythological creatures that incorporate characteristics of other wild beasts as well. In this case, two deer antlers rise up on either side of the golden flame at the center of the crown (urna, cudamani). The crown itself can be likened to the third eye of the high god Siwa, with whom deer are likewise associated. While the use of deer antlers in Barong is known, it is rare and may indicate a special type of Barong. This mask was published in Bali: Art, Ritual Performance (2011), where it is said to possibly be the creation of I Gusti Made Gede, a famed 19th century mask-maker from Puri Gerenceng, a major center of mask-making for generations.",52.164104,4.483984,TP008.jpg
9,TP009,Banaspati Raja,-,"Collection Nationaal Museum van Wereldculturen, Leiden",,"This is a rare example of a turn-of-the-century Barong mask from Kintamani, a large village located on the western side of Lake Batur, which lies within a giant volcanic crater. As the mountain people who inhabit the fertile highlands, the mask is vigorous and lively. Kintamani is located in Bangli, Bali's only landlocked regency. Overlooking Lake Batur, considered the source of all waters on the island, it is on one of the main routes connecting Singaraja, the capital of North Bali, to South Bali.",52.164104,4.483984,TP009.jpg
10,TP010,Barong ket,1931,"Museum Bali, Denpasar",,"This is a classic example of an early crowned Banaspati Raja from the Badung Regency of South Bali. Rectangular in form, the facial features are balanced and proportional, giving it a stately presence. Despite its demonic attributes, enormous eyes, animal snout, wide mouth and fangs, the mask is majestic and graceful, demonstrating the Barong's ultimate role as a protective icon. It was donated to Museum Bali by Dirk Hannema in 1931 when he was working with the Kunstkring (Art Circle) in Batavia. Later he was appointed director of Museum Boijmans Van Beuningen in Rotterdam.",-8.657398,115.218579,TP010.jpg
11,TP011,barong ket,1930,"Museum Sonobudoyo, Yogyakarta",,"Without its elaborate cutout crown and other gear, Barong Ket masks are compact and intense. Flanked by large eyes with flaming eyebrows, the nose pushes forward to the edge of the upper lip. Like a wild beast the nostril holes are flared. Both the ending of the nose and toothy mouth with four fangs are flat with sides that curve along to the side. This is a classic example from South Bali, collected in the early decades of the 20th century by the Java Instituut.",-7.802257,110.359438,TP011.jpg
12,TP012,"Demon Barong Bangkal, Wild Boar",1940,"Museum Bali, Denpasar",,"With huge eyes, long tusks, floppy ears and a face covered with a thick layer of bristles, the sheer ferocity of this wild boar-a form assumed by several shapeshifting witches including Rarung's disciple, Nyi Waksirsa and Ni Kelinyar, who appears in the Dukuh Siladri story. Kelinyar ordered by Dayu Datu, another worshipper of Rarung to kill the heroine, Ni Kesuma Sari. Possessing great prowress the girl quickly dispatches Kelinyar and later goes on to defeat Dayu Datu. An early role model of women's liberation on Bali, Kesuma Dukuh Siladri served as the basis of Diana Darling's book, The Painted Alphabet (1992).",-8.657398,115.218579,TP012.jpg
13,TP013,Wild Boar ,1930,"Museum Bali, Denpasar","Jl. Mayor Wisnu No.1, Dangin Puri, Kec. Denpasar Tim., Kota Denpasar, Bali 80232","According to I Made Bandem, this large and impressive image of a wild male boar with tusks is the work of I Gusti Belauan of Singapadu, a village famed for sacred Barong masks. Belauan worked in the late 19th and early 20th century. He was also probably the maker of the nearly identical mask in the Basel Ethnographic Museum in Switzerland. Singapadu has been a famed center of mask-making since the 18th-century, when it was patronized by the rulers of the Sukawati Kingdom. While the form and depiction of the boar is forceful and realistic, it is the attention to detail-the interplay of curved lines on the snout, lips and ears, enhanced by a palette of black, saturated red and burnished gold-that makes the whole come alive.",-8.657398,115.218579,TP013.jpg
14,TP014,Wild Boar Barong,1930,"National Museum of Indonesia, Jakarta",,"The surface of this wild boar's head undulates with wave-like forms and gold-leaf patterns that swirl around its eyes, maw and curved red snout. The intrinsic danger of these ferocious forest beasts is seen in its tusks-espe-cially the pair that rise and curve forward from the lower jaw in a way that is not seen in nature. Stiff animal bristle, perhaps from swine, has been at-tached to the forehead to increase the impression of wildness. This particu-lar style comes from Central Singapadu, which is famed for its boar masks. It is possible that it was made by Anak Agung Negari or I Gusti Aji Belaluan, two of the best known mask-makers of the early 20th century.",-6.176424,106.821815,TP014.jpg
15,TP015,"Gadjah Mina Ganesha, Elephant Fish",1930,"Museum Sonobudoyo, Yogyakarta",,"While the exact identity of this rare and exquiste Wayang Wong mask of a white elephant is unknown, there are several possibilities including Ganesa, the elephant headed son of the high god, Siwa or Gadjahmina a mythological half elephant, half fish creature often featured in Javanese and Balinese mythology and iconography. In particular the elegant curving tongue resembles the gadjahmina bow carvings on Balinese traditional outriggers (jukung).",-7.802257,110.359438,TP015.jpg
16,TP016,Barong,-,"Private Collection, Mas",,"Using simple tools, Balinese artists are masters at playing with sculptural forms. This is even more evident than usual here because of the absence of surface pigment. The play of undulating curves on this archaic depiction of an elephant's head is sophisticated and effortless. With a proud u-shaped trunk ending at its mouth counterbalanced by upward curving tusks, large eyes and multiple bulges on its forehead, it is reminiscent of the gadjahmina elephant fish one of many fantasy creatures in Balinese mythology.",-8.541481,115.27515,TP016.jpg
17,TP017,Elephant Barong,1930,"Collection Nationaal Museum van Wereldculturen, Leiden",,"With ivory tusks, a proudly raised trunk, great flapping ears and blue skin flecked with gold, this large and impressive pachyderm is unique. It was undoubtedly commissioned from a master mask-maker (undagi) for a special occasion by a temple or aristocrat. The mask bears similarities to the two large elephant statues flanking the main gate (kori agung) of Puri Taman Pule Temple in Mas. It is possible that the mask was made by Ida Bagus Ngurah, who set up a traditional school of the arts in Mas in the 19th century. His students included his son, Ida Bagus Gelodog, and Ida Bagus Njana, who became the two founders of the Mas school of modernistic Balinese sculpture. As in many places, the art of mask-making was handed down through the generations. Gelodog became an acclaimed mask-maker himself, and his own son, Ida Bagus Anom, followed in his footsteps. This mask was exhibited in Bali: Art, Ritual, Performance at the San Francisco Museum of Asian Art in 2010.",52.164104,4.483984,TP017.jpg
18,TP018,Barong Elephant ,1930,"National Museum of Indonesia, Jakarta",,"This magnificent and festive image of a large elephant with lapis lazuli blue hide, red striped trunk, golden eyebrows, and striking ivory tusks, had been hidden in the storage rooms of Indonesia's national museum until recently. After renovations it is now part of the permanent display. Such grandiose creations were usually commissioned by wealthy royal patrons for special occasions. A comparable example on the previous page is in the collection of the Nationaal Museum van Wereldculturen.",-6.176424,106.821815,TP018.jpg
